Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Des Moines University College of Osteopathic Med.,USA,Iowa,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Iowa,USA,Iowa,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Iowa College of Medicine,USA,Iowa,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Manhattan Area Vocational Technical School,USA,Kansas,2 - MIDWEST,4 - WEST NORTH CENTRAL,
University of Kansas School of Medicine,USA,Kansas,2 - MIDWEST,4 - WEST NORTH CENTRAL,
Semmelweis University of Medicine,Hungary,NA,NA,NA,NA
FRONTIER SCHOOL OF MIDWIFERY & FAMILY NURSING,USA,Kentucky,3 - SOUTH,6 - EAST SOUTH CENTRAL,
Autonomous University of Central America,Nicaragua,NA,NA,NA,NA
FRONTIER NURSING UNIVERSITY,USA,Kentucky,3 - SOUTH,6 - EAST SOUTH CENTRAL,
University of Peru Cayetano Heredia,Peru,NA,NA,NA,NA
SOUTHEAST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,USA,Kentucky,3 - SOUTH,6 - EAST SOUTH CENTRAL,
Tulane University School of Medicine,USA,Louisiana,3 - SOUTH,7 - WEST SOUTH CENTRAL,
Southeastern Louisiana University,USA,Louisiana,3 - SOUTH,7 - WEST SOUTH CENTRAL,
University of New England Coll. of Osteopathic Med,USA,Maine,1 - NORTHEAST,1 - NEW ENGLAND,
American University of Beirut Faculty of Medicine,Lebanon,NA,NA,NA,NA
Northern Maine Technical College,USA,Maine,1 - NORTHEAST,1 - NEW ENGLAND,
Tongji Medical University,China,NA,NA,NA,NA
King Edward Medical College,Pakistan,NA,NA,NA,NA
University of Maryland School of Medicine,USA,Maryland,3 - SOUTH,5 - SOUTH ATLANTIC,
Johns Hopkins University School of Medicine,USA,Maryland,3 - SOUTH,5 - SOUTH ATLANTIC,
Autonomous University of Mexico City,Mexico,NA,NA,NA,NA
Anne Arundel Community College,USA,Maryland,3 - SOUTH,5 - SOUTH ATLANTIC,
JOHN HOPKINS UNIVERSITY,USA,Maryland,3 - SOUTH,5 - SOUTH ATLANTIC,
Johns Hopkins University,USA,Maryland,3 - SOUTH,5 - SOUTH ATLANTIC,
Tufts University School of Medicine,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
MASSASOIT COMMUNITY COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
LABOURE COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Massachusetts Medical School,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Universidad Nacoional Experimental Romulo Gallegos,Venezuela,NA,NA,NA,NA
SOUTH EASTERN MASS UNIVERSITY,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Sindh Medical College,Pakistan,NA,NA,NA,NA
Beijing Medical University,China,NA,NA,NA,NA
Harvard Medical School,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
SIMMONS COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
UNIVERSITY OF MASSACHUSETTS AMHERST,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
MASS COL OF PHARMACY & HLT SERV,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
NEW ENGLAND INSTITUTE OF TECHNOLOGY,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
REGIS COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
NORTHEASTERN UNIVERSITY,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
